Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,3217.94558307029,3485.24537581525,3551.7554087317,3542.40340619593,3606.09684524847,3273.72863171447,2647.63012074319,2840.70512035245,2992.46348897898,3019.60132199796,3206.89773375732,3404.902258884,3415.11067948544,3646.49868615643,3809.03531372592,3901.72751770005,3964.7948391824,4012.74116282588,3788.64660698515,3910.95664878367,5127.2663531012,4838.44733488257,4926.47779766795,5347.46921515171,5958.27512990331,6752.65113004517,7259.80630499972,7887.39355781641,8673.40457029042,7278.10880577606,7791.51106247109,8464.57201105558,8892.16184683018,9301.17659043447,9393.75050976619,8531.0182198556,8489.73912604172
"Bahamas, The",BHS,1581.3308012563,1684.50498662126,1788.02969863647,1904.45524726505,2034.43581803767,2187.72759078641,2369.40273014225,2607.97200689343,2860.7992334218,3279.79640543568,3185.63482409627,3297.99899921202,3322.6682561193,3696.66314026272,3416.55006239904,3156.46805942334,3328.63319198349,3617.25119348996,4130.75086967094,5532.15083093888,6338.61986793949,6622.68565804379,7165.13449097719,7694.93798487479,8873.76910201509,9888.48934964442,10339.5210156776,11150.6900362788,11381.8215599869,12158.078848834,12350.9768428937,11914.8577643653,11682.084964717,11402.651522136,11812.4648870041,12239.8714974121,12717.1500052856,17287.9360211869,18456.6089774529,20505.947433679,21241.23669811,21497.5209065268,22506.3511419764,22009.2004332596,21996.4064912596,23405.4530158026,23719.1078819641,24301.2432520857,23652.3305303491,22037.1080100097,21921.5590634977,21523.9737238384,28815.527404385,28303.4672887287,28374.3579411203,29056.0906632751,28785.4776705382
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.192401975681,695.938119193113,1109.00047561381,1696.84585805842,1931.52512275079,2288.56870148796,3103.29635495842,3331.75491424141,3660.47523085793,3838.13098217714,4174.76219075675,4668.42124748448,5307.6779589085,5973.63751987281,6780.56562348965,6619.00873894753,6814.71804505218,7110.93032680784,7187.848802149,7428.22785803824,7672.09608968251,8084.31173307624,8501.74163220368
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24968102856021E-05,8.54424171081028E-05,0.000904953014878622,0.00962320539115148,0.173982595091425,1.19092211104571,1.8881811023622,3.62587822477019,6.97349389214421,30.1799418714242,91.5246186975242,172.967872747569,264.945241764573,373.234018754589,513.782629777601,673.299589245146,825.274619559718,1016.27212266392,1362.20617475783,1445.73048771059,1796.15730666915,3243.31702200699,5786.01076972411,7085.23888186316,8504.84737418111,9474.54670452419,9926.96547736397
Belize,BLZ,435.60457942301,452.01419173627,467.333442865358,481.354578491274,501.668784988697,539.95985638764,580.720092915215,609.626237887339,646.211905808153,662.41269149177,727.603083923982,778.088514580145,831.301612268974,987.671508345322,1344.17814739504,1603.63199759868,1598.99960783443,1717.65616217361,1961.64501852985,2148.54392979725,2701.95275918282,2614.42337665858,2366.33663366337,2425.84487427963,2630.54500551928,2536.36589639888,2687.41743725231,3172.9004130335,3517.88547042921,3958.70692051518,4404.64511175567,4653.69180540586,5333.95534101494,5666.1226823739,5760.42226563662,5992.76585669902,6003.33027574458,5905.20428147252,5983.84994181098,6130.98449541054,6728.84742130481,6838.55143852163,7113.12365086993,7359.81904655743,7663.076037075,7866.66443092803,8374.75605939184,8649.75285432312,8940.44159195205,8517.57722287524,8688.30035322505,9032.49349923449,9347.27696086439,9377.07688687057,9704.44733205571,9699.99499009152,9489.47279495523
Bermuda,BMU,1630.63063063063,1681.31868131868,1731.75965665236,1731.65618448637,1885.48057259714,1956.0878243513,2254.90196078431,2592.30769230769,2830.18867924528,3053.7037037037,3387.27272727273,3866.30036630037,4343.17343173432,5009.2936802974,5853.93258426966,6509.43396226415,7261.27819548872,8370.78651685393,8876.86567164179,9613.38289962825,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,
Bolivia,BOL,0.00182646242035561,0.00194906201184494,0.00209039586545103,0.00220758405425468,0.00243910105022555,0.00265254655958964,0.00284377400264119,0.00303947384134289,0.00249705589463986,0.00259644291834991,0.00268188978684702,0.00282876699971808,0.00355889838472415,0.00526684434685858,0.00857294160461249,0.0096058157926415,0.0106778873451536,0.0123395081507705,0.0140556026347573,0.0164944178435921,0.0199047694860522,0.0252927762785868,0.0614247637691506,0.210748036882798,3.17918849761794,380.928753692718,1200.67804868274,1382.02140475429,1638.98818511807,1888.11827258061,2252.41925462396,2736.08445366128,3086.7793643233,3362.6006949576,3725.14621853678,4260.11515698889,4863.87097384458,5290.8948265468,5833.64618164339,5885.11180645243,6226.80223974736,6330.97373880037,6550.33735509216,7026.27672687568,7764.06377035198,8440.58792323719,9883.06517895403,10910.3014327046,12572.456979819,12473.6026588657,13901.2103152958,16493.9378427585,18278.5237704761,20370.2552165983,21586.8421408918,21262.2510362756,21455.246575964
Brazil,BRA,1.42724637923617E-11,2.00698468979142E-11,3.66676022414512E-11,6.09774969110959E-11,1.18827349286832E-10,1.80207863611616E-10,2.54514918305396E-10,3.35905854651687E-10,4.61730969988161E-10,5.96975914539562E-10,7.41239690083773E-10,9.67666049370974E-10,1.26072968938064E-09,1.72071195159165E-09,2.4694352531885E-09,3.39565897886948E-09,5.37380849761556E-09,8.02397556073244E-09,1.14104393773507E-08,1.86178556870962E-08,3.71650353395794E-08,7.19234097883086E-08,1.44773064904498E-07,3.28291479626392E-07,1.05720067417951E-06,3.7054081135346E-06,9.61425712093586E-06,2.96949549605606E-05,0.000218592792699053,0.00290128544927074,0.0773259369659539,0.396679548849162,4.14687538604489,89.7147176549815,2234.12369808575,4442.39094775435,5183.10511584796,5682.5812053877,5890.26990789951,6296.10885711047,6840.71827630327,7402.256205279,8264.11080956349,9414.35098947678,10597.4144268326,11612.532877564,12747.5755401714,14240.2287069525,16114.7199056536,17101.6289118633,19745.5318627001,22026.548653325,24006.4639092839,26340.8677155626,28298.6305293108,29134.3493143894,30179.6702877179
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15629.4407275688,15450.770261219,14881.9149909987,15642.995336179,16388.8415430941,17170.5811087753,18240.8194267923,19207.7019610781,21576.4135099832,22527.7217929362,23135.3322438271,23027.8737277647,23350.6950839479,24056.9606770049,25737.5746546023,28446.5108810295,30879.9842931366,32762.9911280101,33227.4384373231,31845.8002657378,31918.0595845748,33220.8367040745,33072.4292842303,32653.8269577252,32523.5986378954,32258.0985655327,31783.2530982891
Brunei Darussalam,BRN,,,,,,3408.3475713937,3786.94696037869,3783.31288779846,4173.80245866893,3991.007092428,4230.49319741015,4442.03763464627,5374.701737839,7167.47442110932,16866.8484742987,17136.0355289446,20901.2982689747,24184.5136262466,24358.7833849175,32490.8342925353,54414.3047914658,46102.9062648374,44271.0354731041,38295.7159558019,36972.9685144368,34529.5574401368,22234.7297507923,24412.301891239,22150.2262147281,23150.0361808885,24657.5342465753,24016.6144647994,24875.6218905473,23545.6129703178,21562.9047577929,22577.9967159277,23672.542410707,24730.9622545972,21239.1376534199,23895.9940420915,31046.5647984492,29505.946483122,30164.4869647444,32327.5079303544,37009.6422203865,43444.3909211903,49225.6583389602,49240.5245635751,53784.5548606204,40678.5799902025,48088.0559457832,59142.7186412631,59545.0133584158,55800.1163375366,52619.35759672,42577.7526572177,37211.4174047014
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,2605.83544328546,3015.72767496075,3268.5739473379,3785.06134476414,4237.96680772283,4559.99747419613,5257.97159966208,6556.75859298973,7638.6612098447,8446.21890894415,9770.09231685527,10582.9363986272,12230.0734678519,13710.9948634818,16447.2328331104,19088.1002647234,21589.0231126825,25131.1025543069,28687.6758491575,32362.8527306414,34417.8938153104,38126.6304274084,43050.8740944494,46474.8090415345,49736.7552109852,54995.4073699552,60505.5460349762,71993.6327985117,78099.7218061203,85688.7318778711,99632.9233784243,114718.234730118,129425.326740747,137756.565367385,153964.978981207,167745.997515831,186369.331820774
